,url,description,neighborhood,price,bedrooms
103,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-gem-renovated-in-unit/7083494439.html,"Gem! Renovated, In-Unit Laundry, Large!   555 Eddy #4",san francisco,2595.0,1.0
105,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-quiet-garden-view-studio/7083658855.html,"Quiet, Garden View Studio! Newly Renovated | 555 Eddy St . Unit 10",san francisco,1850.0,1.0
109,https://sfbay.craigslist.org/sby/apa/d/san-jose-5-beds-5-baths-magnificent/7084146254.html,5 BEDS 5 BATHS MAGNIFICENT SILVER CREEK VALLEY COUNTRY CLUB HOME,san jose,6495.0,5.0
112,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-amazing-property-at-finley/7085305217.html,"Amazing property at Finley Ave Santa Rosa, CA 95407 1 bed 1 bath sqf",santa rosa,1760.0,1.0
117,https://sfbay.craigslist.org/eby/apa/d/dublin-full-size-washers-and-dryers/7085341952.html,"Full-Size Washers and Dryers, Vinyl Plank Flooring, Vaulted Ceilings",dublin/pleasanton/livermore,2230.0,1.0
124,https://sfbay.craigslist.org/sby/apa/d/palo-alto-24-hour-fitness-center-and/7081202278.html,"24-hour Fitness Center and Yoga Studio, Designer Quartz Countertops",mountain view,4647.0,2.0
125,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-prime-location-1x1-with-d/7085341659.html,PRIME LOCATION - 1X1 WITH W/D & PRIVATE GARAGE-$1000 MOVE IN SPECIAL,santa rosa,1769.0,1.0
127,https://sfbay.craigslist.org/eby/apa/d/antioch-3-bedroom-2-full-bath-in/7085341118.html,:):) 3 Bedroom/ 2 full Bath In Antioch :):),pittsburg/antioch,2500.0,3.0
128,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-2bed-2bath/7085340939.html,"Beautiful 2bed 2bath luxury apartment rental (in The Brannan SF), 4/1",soma/south beach,5500.0,2.0
129,https://sfbay.craigslist.org/sby/apa/d/san-jose-2-bdrm-duplex/7085340902.html,2 bdrm duplex,san jose,2200.0,2.0
130,https://sfbay.craigslist.org/sby/apa/d/sunnyvale-one-bedroom-with-private/7085340883.html,One Bedroom with Private Patio! Tour with Encasa today!,sunnyvale,3580.0,1.0
133,https://sfbay.craigslist.org/eby/apa/d/fremont-on-site-management-carpeted/7074739870.html,"On-Site Management, Carpeted, Close to Schools",fremont/union city/newark,2500.0,2.0
134,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2bd-2bth-apt-walkers/7082541369.html,"2Bd 2Bth Apt, Walkers paradise-central loc! Rooftop, Balcony, Parking",san francisco,4650.0,2.0
136,https://sfbay.craigslist.org/sby/apa/d/san-jose-cozy-1x1-with-great-view-tour/7085316629.html,Cozy 1x1 with Great View! Tour Today!,san jose,2215.0,1.0
137,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-charming-top-floor-one/7085339691.html,Charming Top Floor One Bed One Bath Condo ~ J.Wavro,san francisco,3900.0,1.0
140,https://sfbay.craigslist.org/sby/apa/d/san-jose-cut-your-commute-live-in-dtsj/7085339482.html,CUT YOUR COMMUTE! LIVE IN DTSJ! WALK-ABLE EVERYWHERE!,san jose,2379.0,1.0
141,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-newly-remodeled-town-home/7074035387.html,Newly Remodeled Town Home,santa rosa,2300.0,3.0
142,https://sfbay.craigslist.org/sby/apa/d/san-jose-check-out-this-2x2-apartment/7085339172.html,Check Out This 2x2 Apartment with In-Wall USB Ports,san jose,2659.0,2.0
143,https://sfbay.craigslist.org/sby/apa/d/san-jose-2x1-high-rise-living-large/7085339127.html,| 2x1 | High Rise Living! Large Kitchen! Double Sinks!,san jose,3164.0,2.0
148,https://sfbay.craigslist.org/nby/apa/d/fulton-beautifully-updated-4-bdrm-home/7077963319.html,Beautifully updated 4 bdrm home,santa rosa,3000.0,4.0
149,https://sfbay.craigslist.org/sby/apa/d/san-jose-3x2-on-the-3rd-floor-lots-of/7085338748.html,3X2 On The 3rd Floor! Lots of Windows! Available NOW!,san jose,4076.0,3.0
153,https://sfbay.craigslist.org/sby/apa/d/los-altos-refreshing-swimming-pool-2br/7082887203.html,"Refreshing swimming pool, 2BR 2BA apt, Pets welcome, Modern kitchen",mountain view,3295.0,2.0
159,https://sfbay.craigslist.org/sby/apa/d/san-jose-cozy-junior-one-bed-one-bath/7085313776.html,Cozy Junior One Bed/One Bath Available Now!,san jose,1995.0,1.0
160,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1-bed-1-bath-with-4-weeks/7085337401.html,"1 Bed 1 Bath with 4 Weeks FREE!!! Best Amenities, and Great Location!",soma/south beach,4480.0,1.0
162,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-lumina-large-1-bed-15/7085276891.html,"Lumina Large 1 bed 1.5 bath floorpan $4,200",soma/south beach,4200.0,1.0
163,https://sfbay.craigslist.org/eby/apa/d/vacaville-beautifully-updated-two/7085336983.html,Beautifully Updated Two Bedroom Apartment Homes,fairfield/vacaville,1909.0,2.0
165,https://sfbay.craigslist.org/eby/apa/d/berkeley-huge-1-bed-4-blocks-uc-berkeley/7085325431.html,Huge 1-bed 4 blocks uc Berkeley,berkeley,700.0,1.0
167,https://sfbay.craigslist.org/eby/apa/d/vacaville-phenomenal-upstairs-two/7085336547.html,Phenomenal Upstairs Two Bedroom Apartment Home,fairfield/vacaville,1980.0,2.0
